site,config_a,config_b,side,feature,mean_matched,events_matched,valid_feature_events_matched,mean_unmatched,events_unmatched,valid_feature_events_unmatched,mean_difference
hill,adaptive_corridor,sda_florita2013_0.025,left,power_range,0.3851541164765471,3543,3543,0.3236182224501865,4489,4489,0.061535894026360616
hill,adaptive_corridor,sda_florita2013_0.025,left,power_start,0.5107829502769958,3543,3543,0.49603120795159816,4489,4489,0.014751742325397665
hill,adaptive_corridor,sda_florita2013_0.025,left,upward_fraction,0.5004233700254022,3543,3543,0.49788371574961016,4489,4489,0.0025396542757920026
hill,adaptive_corridor,sda_florita2013_0.025,left,wind_prewindow_ms,9.172291637095046,3543,3543,9.026366241407384,4489,4489,0.14592539568766227
hill,adaptive_corridor,sda_florita2013_0.025,right,duration_hours,1.1549534292972057,3543,3543,1.389390519187359,1772,1772,-0.23443708989015333
hill,adaptive_corridor,sda_florita2013_0.025,right,amplitude,-0.0007634407494603933,3543,3543,0.006514210304476361,1772,1772,-0.007277651053936754
hill,adaptive_corridor,sda_florita2013_0.025,right,absolute_amplitude,0.3558399058377998,3543,3543,0.2901335559920511,1772,1772,0.06570634984574869
hill,adaptive_corridor,sda_florita2013_0.025,right,power_range,0.3812710653363425,3543,3543,0.3071043678664655,1772,1772,0.07416669746987697
hill,adaptive_corridor,sda_florita2013_0.025,right,power_start,0.5076661912006266,3543,3543,0.5068810593694713,1772,1772,0.0007851318311553612
hill,adaptive_corridor,sda_florita2013_0.025,right,upward_fraction,0.5007056167090037,3543,3543,0.510158013544018,1772,1772,-0.00945239683501431
hill,adaptive_corridor,sda_florita2013_0.025,right,wind_prewindow_ms,9.181122967043695,3543,3543,9.14310638755672,1772,1772,0.03801657948697468
hill,adaptive_corridor,threshold_1h,left,duration_hours,1.0880967672875188,4671,4671,1.1535257363879798,3361,3361,-0.06542896910046103
hill,adaptive_corridor,threshold_1h,left,amplitude,-0.011768271021312355,4671,4671,0.011153406298687597,3361,3361,-0.02292167731999995
hill,adaptive_corridor,threshold_1h,left,absolute_amplitude,0.3652082208593655,4671,4671,0.32232575970081434,3361,3361,0.042882461158551155
hill,adaptive_corridor,threshold_1h,left,power_range,0.3678244404061952,4671,4671,0.32705006668192677,3361,3361,0.04077437372426845
hill,adaptive_corridor,threshold_1h,left,power_start,0.509584287599844,4671,4671,0.49274617017174926,3361,3361,0.016838117428094712
hill,adaptive_corridor,threshold_1h,left,upward_fraction,0.48661956754442304,4671,4671,0.5162154120797382,3361,3361,-0.029595844535315163
hill,adaptive_corridor,threshold_1h,left,wind_prewindow_ms,9.120777005200926,4671,4671,9.048984807084786,3361,3361,0.07179219811614068
hill,adaptive_corridor,threshold_1h,right,duration_hours,1.2513380432455576,4671,4671,1.4136766568172225,2369,2369,-0.1623386135716649
hill,adaptive_corridor,threshold_1h,right,amplitude,-0.0127715836733807,4671,4671,0.026734118923869322,2369,2369,-0.039505702597250024
hill,adaptive_corridor,threshold_1h,right,absolute_amplitude,0.3768101721208359,4671,4671,0.35944101338770085,2369,2369,0.01736915873313505
hill,adaptive_corridor,threshold_1h,right,power_range,0.3897301106254538,4671,4671,0.3938445398209264,2369,2369,-0.004114429195472558
hill,adaptive_corridor,threshold_1h,right,power_start,0.5105574987906382,4671,4671,0.48154538004148095,2369,2369,0.029012118749157212
hill,adaptive_corridor,threshold_1h,right,upward_fraction,0.4870477413830015,4671,4671,0.5394681300126636,2369,2369,-0.052420388629662085
