site,config_a,config_b,side,population,feature,events,valid_feature_events,catalogue_events,matched_fraction,mean,q25,median,q75
suining,financial_tail_1h,financial_tail_2h,right,unmatched,upward_fraction,211,211,554,0.6191335740072202,0.5023696682464455,0.0,1.0,1.0
suining,financial_tail_1h,financial_tail_2h,right,unmatched,wind_prewindow_ms,211,211,554,0.6191335740072202,6.3445655608214855,5.472083333333334,6.422416666666668,7.1764166666666656
suining,financial_tail_1h,financial_tail_4h,left,matched,duration_hours,10,10,864,0.011574074074074073,2.3,2.0,2.0,2.5
suining,financial_tail_1h,financial_tail_4h,left,matched,amplitude,10,10,864,0.011574074074074073,-0.02909334635567169,-0.5082650851406996,-0.008365639909790196,0.44854600680938855
suining,financial_tail_1h,financial_tail_4h,left,matched,absolute_amplitude,10,10,864,0.011574074074074073,0.5363965367971353,0.41887528121947043,0.4971914581975228,0.6650780382120283
suining,financial_tail_1h,financial_tail_4h,left,matched,power_range,10,10,864,0.011574074074074073,0.5374505254821862,0.41887528121947043,0.4971914581975228,0.6694976826520798
suining,financial_tail_1h,financial_tail_4h,left,matched,power_start,10,10,864,0.011574074074074073,0.5463009168192879,0.13926349227350032,0.5240366805537264,0.9644203677099987
suining,financial_tail_1h,financial_tail_4h,left,matched,upward_fraction,10,10,864,0.011574074074074073,0.5,0.0,0.5,1.0
suining,financial_tail_1h,financial_tail_4h,left,matched,wind_prewindow_ms,10,10,864,0.011574074074074073,6.700858333333334,5.632666666666668,6.022333333333332,8.182041666666668
suining,financial_tail_1h,financial_tail_4h,left,unmatched,duration_hours,854,854,864,0.011574074074074073,1.2084309133489461,1.0,1.0,1.5
suining,financial_tail_1h,financial_tail_4h,left,unmatched,amplitude,854,854,864,0.011574074074074073,-0.036032288405221054,-0.38605335155133913,-0.18440586872524495,0.32858881410475554
suining,financial_tail_1h,financial_tail_4h,left,unmatched,absolute_amplitude,854,854,864,0.011574074074074073,0.37523979427442034,0.2765559032217377,0.35368013795830266,0.4488831370667729
suining,financial_tail_1h,financial_tail_4h,left,unmatched,power_range,854,854,864,0.011574074074074073,0.3889309184525787,0.284033319429592,0.36664073252297913,0.4700681973624094
suining,financial_tail_1h,financial_tail_4h,left,unmatched,power_start,854,854,864,0.011574074074074073,0.5426721130395734,0.30898398463310506,0.5257263785752235,0.7793923297970867
suining,financial_tail_1h,financial_tail_4h,left,unmatched,upward_fraction,854,854,864,0.011574074074074073,0.4765807962529274,0.0,0.0,1.0
