site,arm,configuration_pairs,supported_component_pairs,components,edges,one_to_one_components,one_to_many_components,many_to_one_components,many_to_many_components,mixed_level_components,non_one_to_one_fraction,longer_than_4h_fraction,left_coverage,right_coverage,component_mean_overlap,low,high,occupied_7day_blocks,one_to_one_left_coverage,one_to_one_right_coverage
lahaute,hierarchy_iou50,136,94,38198,61273,28765,2004,2805,4624,8480,0.2469501020995863,0.1352426828629771,0.3416903464451987,0.3607954761091502,0.8929724775750746,0.883143559927495,0.905336347442108,21,,
lahaute,hierarchy_iou70,136,62,22244,23782,21245,259,403,337,1266,0.0449109872325121,0.0724689803992087,0.1631105662596815,0.173524611939732,0.9399163819456932,0.9297252079005988,0.9483425686745568,21,,
lahaute,primitive_iou50,136,90,37741,40848,35236,1203,1122,180,0,0.0663734400254365,0.0972947192708195,0.329275981203924,0.3425858990550015,0.940352225254586,0.931750065334536,0.9498832410966228,21,0.3187515236085776,0.3302617253843139
pizhou,hierarchy_containment50,136,136,314436,1258800,135651,35718,55844,87223,129517,0.5685894744876541,0.3593704283224567,0.6572258457585733,0.6545349520808731,0.8155736614668125,0.8051303691673553,0.8251986514967176,16,,
pizhou,hierarchy_iou30,136,129,303552,773816,175877,29270,38003,60402,108543,0.4206033892051444,0.2393823792958043,0.4678656609975771,0.4951660214864009,0.8444940010929484,0.8350826557293156,0.8542108729412617,16,,
pizhou,hierarchy_iou50,136,111,276979,497419,194290,15620,23388,43681,74241,0.2985388783987234,0.1181028164590095,0.3529095606258826,0.375311261430874,0.8828948295146093,0.8754145241650324,0.8918455278930981,16,,
pizhou,hierarchy_iou70,136,88,164673,176427,156717,2505,2962,2489,11096,0.0483139312455593,0.0506397527220612,0.1609621551671208,0.1742540755112279,0.92713539357798,0.9230061293669224,0.9327323419694932,16,,
pizhou,primitive_iou50,136,105,271672,305451,245837,10305,12812,2718,0,0.095096292588121,0.0730108365970729,0.3361365049660887,0.3510998836043724,0.9418955578786185,0.9371112191547004,0.9474069861896596,16,0.3191419621426537,0.3360529030978861
sdwpf,hierarchy_containment50,136,136,1356054,4741644,650032,159537,225770,320715,515957,0.5206444581115501,0.362088825371261,0.6375502587890373,0.6411534162248038,0.8238885292087197,0.810402928244506,0.840018807973332,22,,
sdwpf,hierarchy_iou30,136,134,1242342,3011745,752633,113114,144193,232402,431228,0.3941821173235711,0.2371005729501216,0.4583643819137382,0.4870017596283403,0.8518916702153196,0.8394098887826044,0.8670455840374298,22,,
sdwpf,hierarchy_iou50,136,126,1113510,1980846,789412,62569,86376,175153,302152,0.2910598018877244,0.1156657775861914,0.3484662588209662,0.3734215511361056,0.8890302359505263,0.8798811857009465,0.9001487882587337,22,,
sdwpf,hierarchy_iou70,136,107,675873,727348,640532,11261,13574,10506,50261,0.0522894094008785,0.052353030820879,0.16460302188966,0.1781716803404771,0.9302514427020064,0.9236329587036404,0.9378085020823972,22,,
sdwpf,primitive_iou50,136,119,1093691,1195714,1012498,35361,38737,7095,0,0.0742376045884989,0.0797958472731329,0.3311073205524956,0.3446292696632435,0.9456353476874356,0.9403455855918398,0.9520231926475604,22,0.3185715670487608,0.3322595705371319
suining,hierarchy_containment50,136,136,113592,516799,45688,14081,20631,33192,52183,0.5977885766603281,0.3840323262201564,0.690687128697847,0.6986636213021746,0.7967901977101765,0.7824827675732433,0.8074321308155752,11,,
suining,hierarchy_iou30,136,124,109775,311887,60015,10868,14238,24654,44616,0.4532908221361876,0.2482714643589159,0.4820194284760457,0.521162376621952,0.8264024977712519,0.8127562012678136,0.8380876027697722,11,,
suining,hierarchy_iou50,136,104,102670,201711,68091,6172,9324,19083,32436,0.3367975065744618,0.1187006915359891,0.3675198976224016,0.3990346344578117,0.8664903156592549,0.8519670926372928,0.8781805636040052,11,,
suining,hierarchy_iou70,136,76,65003,70840,61236,1114,1351,1302,5751,0.0579511714843929,0.0475978031783148,0.1715811117377636,0.1899986779667691,0.9211690229681708,0.910183387848998,0.931507998833335,11,,
suining,primitive_iou50,136,98,101181,113374,91998,3666,4533,984,0,0.090758146292288,0.0705863749122859,0.3478214434818067,0.3680647844832049,0.935154492114791,0.9283015533864152,0.9415744237670128,11,0.3309114563948878,0.3529456435817866
yandun,hierarchy_containment50,136,136,926450,4891034,342489,83742,126891,373328,465491,0.6303211182470722,0.4560526741864105,0.8266120421864654,0.8477750912639579,0.7941053819452146,0.7848784600022903,0.8082304114636194,7,,
yandun,hierarchy_iou30,136,134,897393,2657337,472939,86996,102034,235424,398911,0.4729856372848907,0.3231917342791842,0.5366613438911414,0.6068083449217989,0.8027920749018694,0.7946939677461597,0.8160507473988909,7,,
yandun,hierarchy_iou50,136,125,818477,1618038,547601,51354,65926,153596,272976,0.3309512668040764,0.1717213800754327,0.3893437944450637,0.4392157509095731,0.8452337416726424,0.8396196801046707,0.8545106492797815,7,,
yandun,hierarchy_iou70,136,108,491790,527913,466012,10012,9036,6730,47224,0.0524166819170783,0.0791069358872689,0.1707022840481923,0.1951611320563789,0.9147226797345752,0.9123339229733968,0.9187947710085912,7,,
yandun,primitive_iou50,136,119,787877,878391,721229,24135,34011,8502,0,0.0845918842661989,0.120075849402889,0.3589894108443904,0.3912966520378786,0.9123502840696006,0.9081309091991432,0.9190538892662372,7,0.3420090859821241,0.3772054992127147
