batch,representation,seed,k,events,pairs,nmi,ari,agreement
batch0,transformer,42,2,77994,134469,0.8088503247034331,0.8859514666853503,0.9706251998601908
batch0,transformer,42,4,77994,134469,0.5567343453305589,0.6265586844717443,0.7994481999568673
batch0,transformer,42,6,77994,134469,0.5183611052508914,0.5348325985655046,0.724099978433691
batch1,transformer,42,2,81086,140767,0.8062107753282719,0.8839467173186593,0.9700924222296419
batch1,transformer,42,4,81086,140767,0.5444202916858873,0.6111172846258106,0.7913644533164733
batch1,transformer,42,6,81086,140767,0.5083798285930989,0.5217739242155869,0.718755105955231
batch2,transformer,42,2,78310,135534,0.8156972636808906,0.8910502803683568,0.971977511178007
batch2,transformer,42,4,78310,135534,0.5502707579046247,0.6150768694651066,0.7926350583617395
batch2,transformer,42,6,78310,135534,0.5128144280279875,0.5308238064080893,0.7222984638540882
batch3,transformer,42,2,75238,130996,0.8258871536515267,0.8985265388322644,0.9739534031573484
batch3,transformer,42,4,75238,130996,0.5625831488259576,0.6262085278014065,0.7981541421112095
batch3,transformer,42,6,75238,130996,0.5195367180998949,0.5355918259056145,0.726136675929036
batch4,transformer,42,2,67598,115336,0.8380705874849836,0.9072300060954093,0.9762433238537838
batch4,transformer,42,4,67598,115336,0.564887244367482,0.6258500078492828,0.7993688007213706
batch4,transformer,42,6,67598,115336,0.5175648128944899,0.5307558015102662,0.7225931192342374
batch5,transformer,42,2,70469,120883,0.8269642120460221,0.8992979619381886,0.9741568293308406
batch5,transformer,42,4,70469,120883,0.5658756801699562,0.6268100103055415,0.7982015668042652
batch5,transformer,42,6,70469,120883,0.5149298957449797,0.5321505784236101,0.7220121936086961
batch6,transformer,42,2,51084,89191,0.8313798105242118,0.9024893204333742,0.9749974773239453
batch6,transformer,42,4,51084,89191,0.560174632778606,0.6148240299467634,0.789519121884495
batch6,transformer,42,6,51084,89191,0.5151581969662392,0.5354043202701787,0.7211041472794341
batch0,transformer,43,2,77994,134469,0.896246991202892,0.9462751523828338,0.9863834787200024
batch0,transformer,43,4,77994,134469,0.6440418008852559,0.7688046683336596,0.8546579509031822
batch0,transformer,43,6,77994,134469,0.5140379860893534,0.45351621983085405,0.686522544229525
batch1,transformer,43,2,81086,140767,0.8941496317262646,0.9449973455942314,0.9860549702700206
batch1,transformer,43,4,81086,140767,0.6458568528648869,0.7732697821182015,0.8580349087499201
batch1,transformer,43,6,81086,140767,0.5128444937604549,0.4566468272402994,0.685160584511995
batch2,transformer,43,2,78310,135534,0.9009596637565265,0.9492777101253376,0.9871545147343103
batch2,transformer,43,4,78310,135534,0.653157785517509,0.779051275157056,0.8612599052636238
batch2,transformer,43,6,78310,135534,0.5147449463427748,0.46006535421301453,0.6866321365856538
batch3,transformer,43,2,75238,130996,0.9077225957621531,0.9534684964921634,0.9882286482029986
batch3,transformer,43,4,75238,130996,0.6594269033357205,0.7847539395245786,0.8644767779168829
batch3,transformer,43,6,75238,130996,0.5183079438167913,0.4633414915305071,0.6903569574643501
