group,representation,block_days,pairs,calendar_blocks,occupied_blocks,nmi,ari,nmi_low,nmi_high,ari_low,ari_high,delta_nmi_vs_raw_low,delta_nmi_vs_raw_high,defined_resamples
suining,gaf_pca6,3,102248,24,24,0.30125230228544425,0.25853665773016515,0.2974209041629414,0.3513328284323529,0.25434767615091736,0.3140698695847002,-0.34775398463856877,-0.28231156985105954,2000
suining,gaf_signed_pca6,3,102248,24,24,0.30187739530573127,0.26063921130561557,0.2980584542125617,0.3537182003678273,0.2569400559531988,0.31704500775662436,-0.346768567005027,-0.2808004193208342,2000
suining,event_row_permutation,3,102248,24,24,0.03691575603496478,-0.011066864907300166,0.04478754166840767,0.09038508655444928,-0.0014260010474783523,0.05149250873972826,-0.5938491043360005,-0.5478866043059402,2000
suining,within_event_time_permutation,3,102248,24,24,0.5133689875185957,0.611723096089793,0.5143302298068559,0.5690834713036482,0.6008281333424618,0.6648293339249542,-0.11132629454761778,-0.07961840494846072,2000
suining,covariate_conditional_row_permutation,3,102248,24,24,0.5179487509002271,0.5581925783323078,0.5200732053473514,0.5634637322090461,0.5546457427582198,0.6031550175360494,-0.11350140298786127,-0.07944159753619305,2000
suining,raw25,7,102248,11,11,0.6147559961756034,0.6300977146136341,0.6131516280920982,0.662900604327005,0.6278227473040471,0.6773165625870075,0.0,0.0,2000
suining,statistics9,7,102248,11,11,0.526979149741847,0.5165716387766812,0.521868323171135,0.5605142254581832,0.5091632107810756,0.5569363787432227,-0.1238455888067419,-0.07719251620766172,2000
suining,raw_pca6,7,102248,11,11,0.613576704512943,0.6292400812225825,0.6120074285387781,0.6625983295736985,0.6276607565106417,0.676913594513617,-0.002403194370869935,0.001197439705891705,2000
suining,gaf_pca6,7,102248,11,11,0.30125230228544425,0.25853665773016515,0.30204597655258264,0.3535467690561822,0.2552101747696232,0.3143361776838123,-0.3396198253075799,-0.28628646796973917,2000
suining,gaf_signed_pca6,7,102248,11,11,0.30187739530573127,0.26063921130561557,0.3033246710161259,0.3569433080545167,0.2585530908481821,0.3172358652544975,-0.33820805608420673,-0.28339333938532807,2000
