site,model,training,seed,price_case,shortfall_price,surplus_price,tail_premium,storage_fraction,duration_h,reserve,nameplate_mw,power_mw,energy_mwh,calendar_h,observed_h,operating_cny_per_installed_mw,capital_cny_per_installed_mw,total_cny_per_installed_mw,shortfall_mwh,surplus_mwh,throughput_mwh,tail_mwh,inventory_draw_mwh,initial_soc_mwh,terminal_soc_mwh
pizhou,tcn,mse,41,high,600.0,160.0,1000.0,0.1,2.0,0.0,87.45,8.745000000000001,17.490000000000002,2496.0,1774.5,40392.66458406354,12281.26586368887,52673.93044775241,36.84953595074109,46.1629915064411,53.85181566848891,9.559616803350314,-0.030159408247432625,0.1,0.13015940824743263
pizhou,tcn,mse,41,high,600.0,160.0,1000.0,0.1,4.0,0.0,87.45,8.745000000000001,34.980000000000004,2496.0,1774.5,33329.15539161591,22876.867785302802,56206.0231769187,29.50985160266955,38.10166797117528,69.25282355182688,7.828704788304693,-0.1101594082474326,0.2,0.3101594082474326
pizhou,tcn,mse,41,high,600.0,160.0,1000.0,0.2,1.0,0.0,87.45,17.490000000000002,17.490000000000002,2496.0,1774.5,39482.1529192851,13966.929805763813,53449.08272504892,34.94315458268023,44.09083784550548,57.830350697485194,10.025015169433189,-0.030159408247432625,0.1,0.13015940824743263
pizhou,tcn,mse,41,high,600.0,160.0,1000.0,0.2,2.0,0.0,87.45,17.490000000000002,34.980000000000004,2496.0,1774.5,27023.739814882396,24562.53172737774,51586.27154226014,23.93236699481164,32.03918470176448,80.8927914290947,5.548778102459957,-0.1101594082474326,0.2,0.3101594082474326
pizhou,tcn,mse,41,high,600.0,160.0,1000.0,0.2,4.0,0.0,87.45,17.490000000000002,69.96000000000001,2496.0,1774.5,19250.187797587485,45753.735570605604,65003.92336819309,15.392563859857786,22.753795195836297,98.7179840699768,3.940002222718351,-0.11303191376255141,0.4,0.5130319137625514
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.0,0.0,0.0,87.45,0.0,0.0,2496.0,1774.5,131785.9645820249,0.0,131785.9645820249,62.63846435014231,74.22587877552877,0.0,16.46534907357098,0.0,0.0,0.0
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.05,1.0,0.0,87.45,4.3725000000000005,4.3725000000000005,2496.0,1774.5,114513.69212302315,3491.7324514409534,118005.42457446411,52.32228277418265,63.033489373500025,21.508570977988285,14.498249976860773,0.02,0.025,0.005000000000000001
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.05,2.0,0.0,87.45,4.3725000000000005,8.745000000000001,2496.0,1774.5,101187.92419830525,6140.632931844435,107328.5571301497,47.172913499854154,57.42516691219298,32.26626271362427,12.577342085654294,0.009274654432708114,0.05,0.04072534556729189
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.05,4.0,0.0,87.45,4.3725000000000005,17.490000000000002,2496.0,1774.5,91460.4955895556,11438.433892651401,102898.929482207,42.311977050194336,52.0998374536644,42.452528621813414,11.33704795099551,-0.03072534556729189,0.1,0.1307253455672919
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.1,1.0,0.0,87.45,8.745000000000001,8.745000000000001,2496.0,1774.5,100562.96558401744,6983.464902881907,107546.43048689933,45.038487632030424,55.10572882543652,36.72012666820403,12.76040020969969,0.009840591752567383,0.05,0.040159408247432624
