site,model,price_case,tail_premium,storage_fraction,duration_h,mean_difference,sd_difference,seeds,better_seeds,better_fraction
pizhou,timesnet,low,0.0,0.2,2.0,1319.4166512252548,241.91001577710094,3,0,0.0
pizhou,timesnet,low,0.0,0.2,4.0,1113.7459408504558,225.12276391423612,3,0,0.0
pizhou,timesnet,low,1000.0,0.0,0.0,3941.8431248283464,1037.185505320056,3,0,0.0
pizhou,timesnet,low,1000.0,0.05,1.0,3914.437072973098,740.2846122355982,3,0,0.0
pizhou,timesnet,low,1000.0,0.05,2.0,4003.504838415002,394.6112662806325,3,0,0.0
pizhou,timesnet,low,1000.0,0.05,4.0,3807.1526825612113,332.6681909165768,3,0,0.0
pizhou,timesnet,low,1000.0,0.1,1.0,4102.858262980416,516.7332508717734,3,0,0.0
pizhou,timesnet,low,1000.0,0.1,2.0,4185.840589203999,342.1865713527312,3,0,0.0
pizhou,timesnet,low,1000.0,0.1,4.0,3578.924574084512,546.8854021795969,3,0,0.0
pizhou,timesnet,low,1000.0,0.2,1.0,4178.752194051221,561.5553460521517,3,0,0.0
pizhou,timesnet,low,1000.0,0.2,2.0,4075.920821574449,813.7552918286743,3,0,0.0
pizhou,timesnet,low,1000.0,0.2,4.0,2759.634903973694,968.4153212508076,3,0,0.0
pizhou,timesnet,low,5000.0,0.0,0.0,15356.411001741997,2759.57394749984,3,0,0.0
pizhou,timesnet,low,5000.0,0.05,1.0,14741.998959540395,1752.7251106501171,3,0,0.0
pizhou,timesnet,low,5000.0,0.05,2.0,14758.234927032076,1042.3875919944248,3,0,0.0
pizhou,timesnet,low,5000.0,0.05,4.0,13771.762753144101,1752.6011465616677,3,0,0.0
pizhou,timesnet,low,5000.0,0.1,1.0,15433.702677443245,1134.893532027641,3,0,0.0
pizhou,timesnet,low,5000.0,0.1,2.0,15675.099613974648,2200.1345380390953,3,0,0.0
pizhou,timesnet,low,5000.0,0.1,4.0,12987.5007881525,3306.624433930087,3,0,0.0
pizhou,timesnet,low,5000.0,0.2,1.0,15393.739889508468,2772.528727353747,3,0,0.0
pizhou,timesnet,low,5000.0,0.2,2.0,15101.93750297121,4738.486656205768,3,0,0.0
pizhou,timesnet,low,5000.0,0.2,4.0,9343.190756466647,5411.184852469416,3,0,0.0
yandun,tcn,base,0.0,0.0,0.0,3977.543106023279,1128.8769869911798,3,0,0.0
yandun,tcn,base,0.0,0.05,1.0,4299.733898488926,1206.8901392221276,3,0,0.0
yandun,tcn,base,0.0,0.05,2.0,4485.459391724501,1223.557542029198,3,0,0.0
yandun,tcn,base,0.0,0.05,4.0,4527.527575346493,1271.5997917649386,3,0,0.0
yandun,tcn,base,0.0,0.1,1.0,4534.968427969164,1241.7370376946647,3,0,0.0
yandun,tcn,base,0.0,0.1,2.0,4715.06362449831,1277.148801972387,3,0,0.0
yandun,tcn,base,0.0,0.1,4.0,4838.150915771703,1381.0756996267369,3,0,0.0
yandun,tcn,base,0.0,0.2,1.0,4754.234972006039,1271.6545519580861,3,0,0.0
