term,estimate,cluster_se,block_t_statistic,block_t_df,block_t_pvalue,bh_qvalue_block_t,legacy_normal_pvalue,legacy_normal_bh_qvalue
C(hour)[T.15],0.6029596016575276,0.18906676129248562,3.1891359302693676,30,0.0033305027543048277,0.012766927224835174,0.001426987602223547,0.0054701191418569306
C(hour)[T.16],0.3866545276223099,0.20965614872204588,1.844231757471238,30,0.07504549131605344,0.14383719168910242,0.06514937201740978,0.12486962970003541
C(hour)[T.17],0.28207171751738974,0.2229109915064385,1.2654006678232483,30,0.21546800038908714,0.28590946205475026,0.20572773594427085,0.27298488038759017
C(hour)[T.18],0.26693242542627854,0.21361406559035548,1.2496013532094412,30,0.22110665216673103,0.2878558301793291,0.21144520856232973,0.2752777243547312
C(hour)[T.19],0.4904222834393139,0.19385208153912997,2.529878861993647,30,0.01689677694751908,0.04020267618547643,0.011410191332866903,0.027148386274752287
C(hour)[T.20],0.6139932032548886,0.2055070939880487,2.987698338484585,30,0.005559220122436362,0.01917930942240545,0.0028108684418646853,0.009697496124433163
C(hour)[T.21],0.6638651689912702,0.18335086651308566,3.620736468915954,30,0.0010700440362975325,0.005273788464609267,0.0002937656189135243,0.0014478448360737983
C(hour)[T.22],0.48413578918807376,0.15073784019674552,3.211773424351654,30,0.0031417484390036244,0.012766927224835174,0.001319183710192422,0.0054701191418569306
C(hour)[T.23],0.2804695215099078,0.12505254272350214,2.242813423874482,30,0.03245017052638315,0.0722277989135625,0.02490884846518758,0.05544227561606268
C(month)[T.2],-22.765645011702016,1.0181040596005233,-22.36082333335813,30,2.9120903814826624e-20,2.009342363223037e-18,9.474873080671851e-111,6.537662425663577e-109
C(month)[T.7],-0.08274526193974996,0.21896205163064442,-0.3778977285037893,30,0.7081672536257914,0.7756117539711048,0.7055065699360462,0.7726976718347173
C(month)[T.8],-0.4912994639164713,0.2601685666031838,-1.8883890176702807,30,0.0686777999585544,0.1353933770611501,0.05897374461732449,0.11626252510272542
C(month)[T.9],-0.04867582502847709,0.1912190366688521,-0.2545553302455579,30,0.8008034173245754,0.8633661843030578,0.7990665640519287,0.8614936393684856
C(month)[T.10],-0.018529051835929827,0.19880740037776162,-0.0932010166659896,30,0.9263635230489071,0.9399865160349204,0.925743866723895,0.9393577471168933
C(month)[T.11],0.024258906153837106,0.19540707445752611,0.12414548562882276,30,0.9020281764719036,0.9289543906949455,0.9012000843728486,0.9281015794287546
C(month)[T.12],0.004525646230055959,0.24775520920982202,0.018266603735557475,30,0.985547117846551,0.985547117846551,0.9854261693777265,0.9854261693777265
C(turbine)[T.HRPZ#02(F02)],0.10868025160376102,0.07517625133293962,1.445672664927642,30,0.15863556367105688,0.23795334550658534,0.14826903480857365,0.22240355221286048
C(turbine)[T.HRPZ#03(F03)],0.05608512655011389,0.07513797454494349,0.7464285122107835,30,0.4612183818711582,0.5486908336053434,0.455408600943805,0.5417791976745266
C(turbine)[T.HRPZ#04(F04)],0.0469966923028002,0.07150005835578095,0.6572958593816365,30,0.5160023194122917,0.6034603396516631,0.5109906983788668,0.5975992913244375
C(turbine)[T.HRPZ#05(F05)],0.10259155436928145,0.061185006474600304,1.6767433768576985,30,0.10398442246844451,0.17499817439811394,0.09359267446446978,0.15750962287922965
C(turbine)[T.HRPZ#06(F06)],0.03910152770177046,0.06977289729472012,0.5604114092697905,30,0.5793603340023181,0.655342017150163,0.5751988512315244,0.6506347661471341
