site,cutoff,method,config_a,config_b,pairs,nmi,ari,mean_iou,left_n,right_n,left_coverage,right_coverage
hill,0.3,maximum_iou,endpoint_corridor_0.025,financial_tail_1h,1818,0.6692820297100021,0.7578710091534101,0.5443298496516319,7740,2177,0.23488372093023255,0.8350941662838769
hill,0.5,greedy,endpoint_corridor_0.025,financial_tail_1h,1335,0.6969578189605249,0.7787191921479178,0.620362047440699,7740,2177,0.17248062015503876,0.6132292145153881
hill,0.5,maximum_iou,endpoint_corridor_0.025,financial_tail_1h,1336,0.6842755970427474,0.7734176089757728,0.6202719560878243,7740,2177,0.17260981912144702,0.6136885622416169
hill,0.7,greedy,endpoint_corridor_0.025,financial_tail_1h,292,1.0,1.0,0.997431506849315,7740,2177,0.03772609819121447,0.13412953605879652
hill,0.7,maximum_iou,endpoint_corridor_0.025,financial_tail_1h,292,1.0,1.0,0.997431506849315,7740,2177,0.03772609819121447,0.13412953605879652
hill,0.3,greedy,endpoint_corridor_0.025,financial_tail_2h,326,0.6476980941731457,0.6891785930998865,0.46234662576687113,7740,1467,0.04211886304909561,0.2222222222222222
hill,0.3,maximum_iou,endpoint_corridor_0.025,financial_tail_2h,326,0.6520953010331174,0.6912172691384809,0.46234662576687113,7740,1467,0.04211886304909561,0.2222222222222222
hill,0.5,greedy,endpoint_corridor_0.025,financial_tail_2h,166,0.667864802573317,0.7414739779351377,0.5461130235226621,7740,1467,0.02144702842377261,0.11315610088616224
hill,0.5,maximum_iou,endpoint_corridor_0.025,financial_tail_2h,166,0.667864802573317,0.7414739779351377,0.5461130235226621,7740,1467,0.02144702842377261,0.11315610088616224
hill,0.7,greedy,endpoint_corridor_0.025,financial_tail_2h,21,0.7547205300100144,0.7292817679558011,0.7801587301587302,7740,1467,0.0027131782945736434,0.014314928425357873
hill,0.7,maximum_iou,endpoint_corridor_0.025,financial_tail_2h,21,0.7547205300100144,0.7292817679558011,0.7801587301587302,7740,1467,0.0027131782945736434,0.014314928425357873
hill,0.3,greedy,endpoint_corridor_0.025,financial_tail_4h,32,0.5077383143350057,0.5849743289790083,0.35343640734265735,7740,1091,0.004134366925064599,0.02933088909257562
hill,0.3,maximum_iou,endpoint_corridor_0.025,financial_tail_4h,32,0.5077383143350057,0.5849743289790083,0.35343640734265735,7740,1091,0.004134366925064599,0.02933088909257562
hill,0.5,greedy,endpoint_corridor_0.025,financial_tail_4h,0,,,,7740,1091,0.0,0.0
hill,0.5,maximum_iou,endpoint_corridor_0.025,financial_tail_4h,0,,,,7740,1091,0.0,0.0
hill,0.7,greedy,endpoint_corridor_0.025,financial_tail_4h,0,,,,7740,1091,0.0,0.0
hill,0.7,maximum_iou,endpoint_corridor_0.025,financial_tail_4h,0,,,,7740,1091,0.0,0.0
hill,0.3,greedy,endpoint_corridor_0.025,mean_shift_1h,2346,0.5471121346119566,0.5596428972704054,0.42791681890147365,7740,4526,0.30310077519379847,0.518338488731772
hill,0.3,maximum_iou,endpoint_corridor_0.025,mean_shift_1h,2357,0.5298650148054611,0.5401252166205215,0.42747540254964944,7740,4526,0.3045219638242894,0.5207688908528502
hill,0.5,greedy,endpoint_corridor_0.025,mean_shift_1h,770,0.6290835070664423,0.6192086880864784,0.609112554112554,7740,4526,0.09948320413436693,0.17012814847547503
hill,0.5,maximum_iou,endpoint_corridor_0.025,mean_shift_1h,770,0.6290835070664423,0.6192086880864784,0.609112554112554,7740,4526,0.09948320413436693,0.17012814847547503
hill,0.7,greedy,endpoint_corridor_0.025,mean_shift_1h,73,0.9451504561025758,0.9701537913176572,0.9116438356164384,7740,4526,0.009431524547803617,0.016129032258064516
hill,0.7,maximum_iou,endpoint_corridor_0.025,mean_shift_1h,73,0.9451504561025758,0.9701537913176572,0.9116438356164384,7740,4526,0.009431524547803617,0.016129032258064516
hill,0.3,greedy,endpoint_corridor_0.025,mean_shift_2h,90,0.3892036033245802,0.36364370834174914,0.37564734648067977,7740,2660,0.011627906976744186,0.03383458646616541
hill,0.3,maximum_iou,endpoint_corridor_0.025,mean_shift_2h,90,0.3892036033245802,0.36364370834174914,0.37564734648067977,7740,2660,0.011627906976744186,0.03383458646616541
hill,0.5,greedy,endpoint_corridor_0.025,mean_shift_2h,7,0.5799325048195638,0.27586206896551724,0.5640589569160998,7740,2660,0.0009043927648578811,0.002631578947368421
hill,0.5,maximum_iou,endpoint_corridor_0.025,mean_shift_2h,7,0.5799325048195638,0.27586206896551724,0.5640589569160998,7740,2660,0.0009043927648578811,0.002631578947368421
hill,0.7,greedy,endpoint_corridor_0.025,mean_shift_2h,1,1.0,1.0,0.75,7740,2660,0.00012919896640826872,0.00037593984962406017
hill,0.7,maximum_iou,endpoint_corridor_0.025,mean_shift_2h,1,1.0,1.0,0.75,7740,2660,0.00012919896640826872,0.00037593984962406017
hill,0.3,greedy,endpoint_corridor_0.025,mean_shift_4h,0,,,,7740,1328,0.0,0.0
hill,0.3,maximum_iou,endpoint_corridor_0.025,mean_shift_4h,0,,,,7740,1328,0.0,0.0
hill,0.5,greedy,endpoint_corridor_0.025,mean_shift_4h,0,,,,7740,1328,0.0,0.0
hill,0.5,maximum_iou,endpoint_corridor_0.025,mean_shift_4h,0,,,,7740,1328,0.0,0.0
hill,0.7,greedy,endpoint_corridor_0.025,mean_shift_4h,0,,,,7740,1328,0.0,0.0
hill,0.7,maximum_iou,endpoint_corridor_0.025,mean_shift_4h,0,,,,7740,1328,0.0,0.0
hill,0.3,greedy,endpoint_corridor_0.025,opsda_cui2015_1h_0.025,3110,0.5953640416844418,0.6707363224770051,0.4913719185423365,7740,3665,0.4018087855297158,0.8485675306957708
hill,0.3,maximum_iou,endpoint_corridor_0.025,opsda_cui2015_1h_0.025,3111,0.5639062757607309,0.6500164396355054,0.4913211186113789,7740,3665,0.40193798449612406,0.8488403819918144
hill,0.5,greedy,endpoint_corridor_0.025,opsda_cui2015_1h_0.025,2949,0.5899155101480037,0.667036904714611,0.5,7740,3665,0.3810077519379845,0.8046384720327422
hill,0.5,maximum_iou,endpoint_corridor_0.025,opsda_cui2015_1h_0.025,2949,0.5573813079973039,0.6454422540233684,0.5,7740,3665,0.3810077519379845,0.8046384720327422
