step,residual_input_mw,residual_lp_mw,online_charge_mw,online_discharge_mw,online_soc_mwh,online_net_residual_mw,online_severe,lp_charge_mw,lp_discharge_mw,lp_soc_mwh,lp_net_residual_mw,lp_severe
28,-2.684949639106104,-2.684949639106104,0.0,2.684949639106104,5.161018811742726,0.0,False,0.0,0.0,8.745000000000001,-2.684949639106104,False
29,-2.8750123344403544,-2.8750123344403544,0.0,2.8750123344403544,3.761392059815317,0.0,False,0.0,0.0,8.745000000000001,-2.8750123344403544,False
30,-3.0039175215487286,-3.0039175215487286,0.0,0.9854249766502502,2.262688279008584,-2.0184925448984785,False,0.0,0.0,8.745000000000001,-3.0039175215487286,False
31,-3.0800203402696393,-3.0800203402696393,0.0,0.0,1.7490000000000003,-3.0800203402696393,False,0.0,0.0,8.745000000000001,-3.0800203402696393,False
32,-3.0758130814148203,-3.0758130814148203,0.0,0.0,1.7490000000000003,-3.0758130814148203,False,0.0,0.0,8.745000000000001,-3.0758130814148203,False
33,-3.0897432611772966,-3.0897432611772966,0.0,0.0,1.7490000000000003,-3.0897432611772966,False,0.0,0.0,8.745000000000001,-3.0897432611772966,False
34,-3.1221885516762184,-3.1221885516762184,0.0,0.0,1.7490000000000003,-3.1221885516762184,False,0.0,0.0,8.745000000000001,-3.1221885516762184,False
35,-3.096013823227513,-3.096013823227513,0.0,0.0,1.7490000000000003,-3.096013823227513,False,0.0,0.0,8.745000000000001,-3.096013823227513,False
36,-3.073538731425499,-3.073538731425499,0.0,0.0,1.7490000000000003,-3.073538731425499,False,0.0,1.5761525313774245,8.745000000000001,-1.4973862000480744,False
37,-3.0995024034608902,-3.0995024034608902,0.0,0.0,1.7490000000000003,-3.0995024034608902,False,0.0,3.0995024034608902,7.923373696138154,0.0,False
38,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
39,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
40,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
41,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
42,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
43,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
44,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
45,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
46,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
47,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
48,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
49,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
50,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
51,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
52,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
53,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
54,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
55,,0.0,0.0,0.0,1.7490000000000003,,False,0.0,0.0,6.307646377322798,0.0,False
