site,model,seed,price_case,tail_premium,regime,mse_test_total_cny_per_installed_mw,event_weighted_test_total_cny_per_installed_mw,event_weighted_minus_mse_cny_per_installed_mw,mse_test_mse_pu2,event_weighted_test_mse_pu2,mse_weighted_mse_pu2,event_weighted_weighted_mse_pu2
pizhou,timesnet,43,base,1000.0,unconstrained,40475.54869703266,45395.25399990342,4919.70530287076,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,base,1000.0,at_least_10pct_2h,39748.32467639319,44806.846291393456,5058.521615000267,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,base,5000.0,unconstrained,77408.28069549748,92244.64473704676,14836.364041549285,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,base,5000.0,at_least_10pct_2h,77408.28069549748,92244.64473704676,14836.364041549285,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,high,0.0,unconstrained,42399.58039962328,47058.40092402476,4658.8205244014825,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,high,0.0,at_least_10pct_2h,41595.49773990186,46551.18343186552,4955.685691963656,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,high,1000.0,unconstrained,54745.13473600972,62118.15133784574,7373.016601836018,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,high,1000.0,at_least_10pct_2h,53725.38291451436,61288.623112103305,7563.240197588944,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,high,5000.0,unconstrained,86398.9804427136,103730.87791872314,17331.897476009544,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
pizhou,timesnet,43,high,5000.0,at_least_10pct_2h,86398.9804427136,103730.87791872314,17331.897476009544,0.015556802384985316,0.017263444293568922,0.03397558095173474,0.03535621076488818
