site,config,candidate_events,matched_events,coverage,unmatched_events,matched_duration_hours_median,unmatched_duration_hours_median,matched_amplitude_median,unmatched_amplitude_median,matched_power_range_median,unmatched_power_range_median,matched_power_start_median,unmatched_power_start_median,matched_direction_median,unmatched_direction_median
hill,threshold_2h,5402,5226,0.9674194742687894,176,3.0,2.0,0.0610800900666609,0.12737188809159872,0.4383445374862007,0.2618898165053215,0.4766096430239469,0.40041577767634734,1.0,1.0
hill,threshold_4h,3280,2850,0.8689024390243902,430,6.5,4.5,-0.0234011973505434,0.20035682346509848,0.595148871048637,0.38252618651459175,0.4638839898593184,0.379355955262115,-1.0,1.0
lahaute,adaptive_corridor,1109,1103,0.9945897204688909,6,1.0,2.5,-0.2019414650406504,-0.0013674804878048424,0.266143094308943,0.21466097804878045,0.4408861837398374,0.38802194959349595,-1.0,0.0
lahaute,endpoint_corridor_0.025,811,808,0.9963008631319359,3,0.5,0.5,0.20183902520325198,0.2078260081300812,0.24254471626016255,0.2166292699186991,0.4342170674796748,0.4613105674796747,1.0,1.0
lahaute,endpoint_corridor_0.050,1094,1086,0.9926873857404022,8,1.0,1.5,0.20180487804878044,0.20606666715447156,0.25247559186991864,0.21233007365853665,0.41920812764227633,0.4795219520325203,1.0,1.0
lahaute,endpoint_corridor_0.100,1257,1223,0.9729514717581543,34,1.0,3.0,-0.2024422845528454,-0.2064585398373984,0.2760699170731707,0.23067317788617886,0.436702437398374,0.31290813252032523,-1.0,-1.0
lahaute,financial_tail_1h,760,595,0.7828947368421053,165,1.0,1.0,-0.1476926813008129,-0.1163349495934958,0.2580243902439025,0.1591154471544715,0.4605804861788617,0.3416487837398373,-1.0,-1.0
lahaute,financial_tail_2h,568,529,0.9313380281690141,39,2.5,2.0,-0.1555008113821138,0.1082618048780489,0.3130650406504065,0.1491528520325203,0.4306162666666666,0.2184065105691056,-1.0,1.0
lahaute,financial_tail_4h,373,352,0.9436997319034852,21,5.0,4.5,-0.18133740089430894,0.1259691056910569,0.4014585374796747,0.1924195105691057,0.4274707276422764,0.1319951203252032,-1.0,1.0
lahaute,mean_shift_1h,514,514,1.0,0,1.5,,0.19062276178861784,,0.34363414308943085,,0.40325691300813,,1.0,
lahaute,mean_shift_2h,437,435,0.9954233409610984,2,4.0,7.25,0.1053593479674797,0.15968211560975604,0.4219317073170732,0.5614764224390243,0.3885772373983739,0.24602438926829265,1.0,1.0
lahaute,mean_shift_4h,265,256,0.9660377358490566,9,10.0,18.0,0.014508946341463401,-0.219156094308943,0.5179487930081301,0.6653902591869917,0.3422178861788618,0.3724341430894308,1.0,-1.0
lahaute,opsda_cui2015_1h_0.025,337,337,1.0,0,1.0,,-0.2060178959349593,,0.266113830894309,,0.468452056910569,,-1.0,
lahaute,opsda_cui2015_2h_0.025,782,782,1.0,0,1.5,,-0.2014455138211382,,0.2860878016260163,,0.4272325203252032,,-1.0,
lahaute,opsda_cui2015_4h_0.025,1490,1363,0.9147651006711409,127,2.0,3.0,0.2006487837398373,-0.2111251772357723,0.3104975739837398,0.2817625837398374,0.403593500813008,0.454489430894309,1.0,-1.0
lahaute,sda_florita2013_0.025,667,667,1.0,0,1.0,,0.2036471544715447,,0.2674568926829268,,0.3980861853658536,,1.0,
lahaute,threshold_1h,958,940,0.9812108559498957,18,1.0,1.0,-0.17545529349593494,0.2132544590243902,0.2722260203252032,0.21606259674796735,0.4352617853658537,0.31538211463414634,-1.0,1.0
