site,config_a,config_b,pairs,left_candidates,right_candidates,left_coverage,right_coverage,mean_iou,iou_ge_030,iou_ge_050,iou_ge_070
lahaute,financial_tail_4h,threshold_2h,184,373,1060,0.4932975871313673,0.17358490566037735,0.629450757132183,1.0,1.0,0.2717391304347826
lahaute,financial_tail_4h,threshold_4h,315,373,812,0.8445040214477212,0.3879310344827586,0.8539296978217682,1.0,1.0,0.8222222222222222
lahaute,mean_shift_1h,mean_shift_2h,76,514,437,0.14785992217898833,0.17391304347826086,0.5406532429558745,1.0,1.0,0.013157894736842105
lahaute,mean_shift_1h,opsda_cui2015_1h_0.025,211,514,337,0.41050583657587547,0.6261127596439169,0.6050552922590837,1.0,1.0,0.0
lahaute,mean_shift_1h,opsda_cui2015_2h_0.025,360,514,782,0.7003891050583657,0.46035805626598464,0.6916666666666668,1.0,1.0,0.3888888888888889
lahaute,mean_shift_1h,opsda_cui2015_4h_0.025,400,514,1490,0.7782101167315175,0.2684563758389262,0.6966458333333334,1.0,1.0,0.405
lahaute,mean_shift_1h,sda_florita2013_0.025,332,514,667,0.6459143968871596,0.49775112443778113,0.6433232931726907,1.0,1.0,0.21987951807228914
lahaute,mean_shift_1h,threshold_1h,509,514,958,0.9902723735408561,0.5313152400835073,0.7760969220694169,1.0,1.0,0.5265225933202358
lahaute,mean_shift_1h,threshold_2h,350,514,1060,0.6809338521400778,0.330188679245283,0.6381836734693875,1.0,1.0,0.26571428571428574
lahaute,mean_shift_1h,threshold_4h,17,514,812,0.033073929961089495,0.020935960591133004,0.520974450386215,1.0,1.0,0.0
lahaute,mean_shift_2h,mean_shift_4h,73,437,265,0.16704805491990846,0.27547169811320754,0.5411880455837633,1.0,1.0,0.0136986301369863
lahaute,mean_shift_2h,opsda_cui2015_2h_0.025,67,437,782,0.15331807780320367,0.08567774936061381,0.5426439232409381,1.0,1.0,0.0
lahaute,mean_shift_2h,opsda_cui2015_4h_0.025,300,437,1490,0.6864988558352403,0.20134228187919462,0.683799395049395,1.0,1.0,0.47333333333333333
lahaute,mean_shift_2h,sda_florita2013_0.025,34,437,667,0.07780320366132723,0.050974512743628186,0.5403425006366183,1.0,1.0,0.0
lahaute,mean_shift_2h,threshold_1h,7,437,958,0.016018306636155607,0.007306889352818371,0.5244897959183673,1.0,1.0,0.0
lahaute,mean_shift_2h,threshold_2h,428,437,1060,0.9794050343249427,0.4037735849056604,0.7591995945383795,1.0,1.0,0.7710280373831776
lahaute,mean_shift_2h,threshold_4h,304,437,812,0.6956521739130435,0.37438423645320196,0.6772500480873461,1.0,1.0,0.42105263157894735
lahaute,mean_shift_4h,opsda_cui2015_4h_0.025,6,265,1490,0.022641509433962263,0.004026845637583893,0.5166666666666667,1.0,1.0,0.0
lahaute,mean_shift_4h,threshold_2h,17,265,1060,0.06415094339622641,0.016037735849056604,0.5468078475613335,1.0,1.0,0.0
lahaute,mean_shift_4h,threshold_4h,256,265,812,0.9660377358490566,0.31527093596059114,0.7461242202748576,1.0,1.0,0.6875
lahaute,opsda_cui2015_1h_0.025,opsda_cui2015_2h_0.025,336,337,782,0.9970326409495549,0.4296675191815857,0.9300595238095238,1.0,1.0,0.8601190476190477
lahaute,opsda_cui2015_1h_0.025,opsda_cui2015_4h_0.025,312,337,1490,0.9258160237388724,0.20939597315436242,0.9310897435897436,1.0,1.0,0.8621794871794872
lahaute,opsda_cui2015_1h_0.025,sda_florita2013_0.025,337,337,667,1.0,0.5052473763118441,1.0,1.0,1.0,1.0
lahaute,opsda_cui2015_1h_0.025,threshold_1h,316,337,958,0.9376854599406528,0.3298538622129436,0.8180379746835444,1.0,1.0,0.4778481012658228
lahaute,opsda_cui2015_1h_0.025,threshold_2h,57,337,1060,0.16913946587537093,0.05377358490566038,0.5,1.0,1.0,0.0
lahaute,opsda_cui2015_2h_0.025,opsda_cui2015_4h_0.025,738,782,1490,0.9437340153452686,0.49530201342281877,0.9619112143502387,1.0,1.0,0.9010840108401084
lahaute,opsda_cui2015_2h_0.025,sda_florita2013_0.025,594,782,667,0.7595907928388747,0.8905547226386806,0.9604377104377104,1.0,1.0,0.9208754208754208
lahaute,opsda_cui2015_2h_0.025,threshold_1h,519,782,958,0.6636828644501279,0.5417536534446764,0.7377970456005137,1.0,1.0,0.40847784200385356
lahaute,opsda_cui2015_2h_0.025,threshold_2h,380,782,1060,0.4859335038363171,0.3584905660377358,0.676422305764411,1.0,1.0,0.37894736842105264
lahaute,opsda_cui2015_2h_0.025,threshold_4h,15,782,812,0.01918158567774936,0.01847290640394089,0.5,1.0,1.0,0.0
lahaute,opsda_cui2015_4h_0.025,sda_florita2013_0.025,634,1490,667,0.425503355704698,0.9505247376311844,0.9414300736067298,1.0,1.0,0.8801261829652997
lahaute,opsda_cui2015_4h_0.025,threshold_1h,506,1490,958,0.3395973154362416,0.5281837160751566,0.7322510822510822,1.0,1.0,0.391304347826087
lahaute,opsda_cui2015_4h_0.025,threshold_2h,664,1490,1060,0.44563758389261743,0.6264150943396226,0.7369663427268848,1.0,1.0,0.5858433734939759
lahaute,opsda_cui2015_4h_0.025,threshold_4h,272,1490,812,0.1825503355704698,0.33497536945812806,0.6479360202705791,1.0,1.0,0.33455882352941174
lahaute,sda_florita2013_0.025,threshold_1h,492,667,958,0.7376311844077961,0.5135699373695198,0.7540311653116532,1.0,1.0,0.3719512195121951
lahaute,sda_florita2013_0.025,threshold_2h,267,667,1060,0.4002998500749625,0.2518867924528302,0.6351658640984484,1.0,1.0,0.3333333333333333
lahaute,sda_florita2013_0.025,threshold_4h,30,667,812,0.044977511244377814,0.03694581280788178,0.6225616975616978,1.0,1.0,0.2
lahaute,threshold_1h,threshold_2h,352,958,1060,0.3674321503131524,0.3320754716981132,0.5418087121212122,1.0,1.0,0.07386363636363637
lahaute,threshold_1h,threshold_4h,1,958,812,0.0010438413361169101,0.0012315270935960591,0.5,1.0,1.0,0.0
lahaute,threshold_2h,threshold_4h,333,1060,812,0.3141509433962264,0.4100985221674877,0.5836858712245709,1.0,1.0,0.12912912912912913
pizhou,adaptive_corridor,endpoint_corridor_0.025,6726,9769,9274,0.6885044528610912,0.7252533965926246,0.8545475034101261,1.0,1.0,0.6907523044900387
pizhou,adaptive_corridor,endpoint_corridor_0.050,7855,9769,10613,0.8040741119868974,0.7401300292094601,0.8768384720167025,1.0,1.0,0.7394016549968173
pizhou,adaptive_corridor,endpoint_corridor_0.100,8261,9769,10493,0.8456341488381616,0.7872867626036405,0.8864109019303164,1.0,1.0,0.7724246459266433
pizhou,adaptive_corridor,financial_tail_1h,752,9769,1030,0.0769781963353465,0.7300970873786408,0.7577349290780141,1.0,1.0,0.44680851063829785
pizhou,adaptive_corridor,financial_tail_2h,299,9769,708,0.030607022213123145,0.422316384180791,0.6450748526835482,1.0,1.0,0.34782608695652173
pizhou,adaptive_corridor,financial_tail_4h,62,9769,496,0.006346606612754632,0.125,0.6227567235631751,1.0,1.0,0.24193548387096775
pizhou,adaptive_corridor,mean_shift_1h,3008,9769,5717,0.307912785341386,0.5261500787126115,0.6687311349628503,1.0,1.0,0.33011968085106386
pizhou,adaptive_corridor,mean_shift_2h,424,9769,3316,0.04340260006141877,0.1278648974668275,0.6367976548054239,1.0,1.0,0.3113207547169811
pizhou,adaptive_corridor,mean_shift_4h,38,9769,1425,0.003889855665881871,0.02666666666666667,0.6133731893974385,1.0,1.0,0.13157894736842105
pizhou,adaptive_corridor,opsda_cui2015_1h_0.025,3082,9769,4452,0.315487767427577,0.6922731356693621,0.6242158771360589,1.0,1.0,0.19662556781310836
pizhou,adaptive_corridor,opsda_cui2015_2h_0.025,4826,9769,8674,0.49401166956699766,0.5563753746829606,0.6514859984607188,1.0,1.0,0.30915872358060503
pizhou,adaptive_corridor,opsda_cui2015_4h_0.025,5182,9769,13284,0.5304534752789436,0.39009334537789825,0.6692621473256363,1.0,1.0,0.36144345812427636
pizhou,adaptive_corridor,sda_florita2013_0.025,4587,9769,7304,0.4695465247210564,0.6280120481927711,0.6522355741780202,1.0,1.0,0.27141922825376064
pizhou,adaptive_corridor,threshold_1h,5340,9769,8396,0.5466270856791893,0.6360171510242972,0.7397520955947922,1.0,1.0,0.4290262172284644
pizhou,adaptive_corridor,threshold_2h,2126,9769,6346,0.21762718804381206,0.3350141821619918,0.6842965007711009,1.0,1.0,0.4242709313264346
pizhou,adaptive_corridor,threshold_4h,348,9769,3539,0.03562288872965503,0.09833286239050579,0.6434001157029807,1.0,1.0,0.3275862068965517
pizhou,endpoint_corridor_0.025,endpoint_corridor_0.050,8594,9274,10613,0.9266767306448135,0.8097616131159898,0.934921096667664,1.0,1.0,0.8612985804049337
pizhou,endpoint_corridor_0.025,endpoint_corridor_0.100,7019,9274,10493,0.756847099417727,0.6689221385685695,0.8176804682076088,1.0,1.0,0.6146174668756234
pizhou,endpoint_corridor_0.025,financial_tail_1h,589,9274,1030,0.06351089066206599,0.5718446601941748,0.6362761743067346,1.0,1.0,0.2461799660441426
pizhou,endpoint_corridor_0.025,financial_tail_2h,83,9274,708,0.00894975199482424,0.1172316384180791,0.5495697074010327,1.0,1.0,0.14457831325301204
pizhou,endpoint_corridor_0.025,financial_tail_4h,4,9274,496,0.00043131334914815614,0.008064516129032258,0.5408653846153846,1.0,1.0,0.0
pizhou,endpoint_corridor_0.025,mean_shift_1h,1221,9274,5717,0.13165839982747465,0.2135735525625328,0.6054528554528554,1.0,1.0,0.11056511056511056
pizhou,endpoint_corridor_0.025,mean_shift_2h,18,9274,3316,0.0019409100711667026,0.005428226779252111,0.5904982363315696,1.0,1.0,0.2222222222222222
