site,conditioning,representation,strata,defined_strata,strata_n_ge_30,both_constant_strata,one_side_constant_strata,original_matched_pairs,retained_pairs,retained_pair_fraction,catalogue_left_views,catalogue_right_views,conditional_left_coverage,conditional_right_coverage,scored_pairs_n_ge_30,scored_fraction_of_retained,equal_stratum_nmi_n_ge_30,equal_stratum_ari_n_ge_30,median_nmi_n_ge_30,median_ari_n_ge_30,pair_weighted_nmi_n_ge_30,pair_weighted_ari_n_ge_30
lahaute,amplitude_abs,statistics9,484,357,195,55,48,34042,20627,0.6059279713295341,107510,105194,0.19186122221188726,0.19608532806053577,15837,0.767780094051486,0.6001808460669289,0.6370876493555979,0.6775718819309307,0.7561587995510132,0.6433348596148687,0.6873829178779033
lahaute,amplitude_abs,within_event_time_permutation,484,403,212,9,3,34042,20627,0.6059279713295341,107510,105194,0.19186122221188726,0.19608532806053577,17965,0.870945847675377,0.7050351452001618,0.7762087823345042,0.7152156181129035,0.7967590722898519,0.6987607100509722,0.78169973735518
lahaute,direction,event_row_permutation,247,241,189,1,9,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,33255,0.9824805010635783,0.029638815235426493,-0.0002965496524108063,0.0245221247199251,-0.0020417511533705,0.022887196583206888,-0.00037791607613990564
lahaute,direction,gaf_pca6,247,240,189,2,8,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,33255,0.9824805010635783,0.30317491094200544,0.26387787742161933,0.2307874513426867,0.1964495215496074,0.3563232629076113,0.33158641448012544
lahaute,direction,gaf_signed_pca6,247,240,189,2,9,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,33255,0.9824805010635783,0.30181661182232683,0.26480124492976514,0.2317523404315624,0.1900836398136705,0.35555534854681264,0.33291743386711714
lahaute,direction,raw25,247,200,162,42,64,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,26639,0.7870184353580714,0.11601830819748915,0.14712611110563764,0.03256599052791645,0.0445497687471782,0.1729394434459034,0.22463047119605786
lahaute,direction,raw_pca6,247,200,162,42,64,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,26639,0.7870184353580714,0.11398766068007181,0.14436180644765575,0.0330137797475733,0.04226517864674845,0.17085956528606192,0.22161814930866222
lahaute,direction,statistics9,247,229,188,13,18,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,33208,0.9810919404396123,0.4478777197834742,0.5213567669744934,0.43257645582889637,0.5239212497988873,0.49744754261681023,0.5910248946903243
lahaute,direction,within_event_time_permutation,247,205,172,37,71,34042,33848,0.9943011573938076,107510,105194,0.3148358292251884,0.32176740118257696,29642,0.8757385960765777,0.03979887091576129,0.04413150158610199,0.0133347148482909,0.0,0.04602857787777078,0.06181435048719986
lahaute,duration_hours,event_row_permutation,311,164,130,0,3,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19741,0.9822370385112946,0.03756172593686463,-0.0015268391899500538,0.028994818126950102,-0.0034318392416299503,0.026475023885762363,0.00022079814519267523
lahaute,duration_hours,gaf_pca6,311,161,130,3,1,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19741,0.9822370385112946,0.5771761693899118,0.5449331065666191,0.4968596125002188,0.4624464812962634,0.6097566045529755,0.5892285294073771
lahaute,duration_hours,gaf_signed_pca6,311,161,130,3,1,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19741,0.9822370385112946,0.5761704834103025,0.5470717757443548,0.49656286280832285,0.45979540202686736,0.6094605176729834,0.5913506108386843
lahaute,duration_hours,raw25,311,160,130,4,1,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19741,0.9822370385112946,0.844264436040855,0.853540963159906,0.874673329408129,0.9239180045713384,0.8435466122773425,0.8505892802585454
lahaute,duration_hours,raw_pca6,311,160,130,4,1,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19741,0.9822370385112946,0.8440059740985147,0.8529289092161795,0.874673329408129,0.9195386039900093,0.8437067620775829,0.8504217553346685
lahaute,duration_hours,statistics9,311,152,129,12,7,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19667,0.9785550801074734,0.6992668174095044,0.7436892620393479,0.6927181589367474,0.7747376722863476,0.7460184120633653,0.7926245959687155
lahaute,duration_hours,within_event_time_permutation,311,160,130,4,1,34042,20098,0.5903883438105869,107510,105194,0.18694074969770255,0.1910565241363576,19741,0.9822370385112946,0.6764288698305765,0.7605468871256437,0.6907328445626396,0.7774091555327263,0.6523405084487582,0.74690952161593
lahaute,joint_all_four,event_row_permutation,5345,1770,53,51,288,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,1958,0.1324494351620104,0.09638516789020016,0.012859982507444958,0.0912610879990665,0.0040327303759977,0.09486382129819297,0.013471436151837725
lahaute,joint_all_four,gaf_pca6,5345,1607,53,214,113,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,1958,0.1324494351620104,0.9459201718907694,0.9402664250314874,1.0,1.0,0.9500774123495467,0.9452774964418866
