group,site,config_a,config_b,representation,legacy_matched_pairs,legacy_nmi_sklearn,legacy_ari_sklearn,metric_status,stored_pairs,stored_nmi,stored_ari,nmi_abs_diff,ari_abs_diff
suining,suining,financial_tail_4h,threshold_2h,within_event_time_permutation,105,0.7066187598645495,0.8079479902327669,VALID,105,0.7066187598645498,0.8079479902327669,3.3306690738754696e-16,0.0
suining,suining,financial_tail_4h,threshold_4h,raw25,165,0.6701903410957174,0.6801652534484687,VALID,165,0.6701903410957176,0.6801652534484686,2.220446049250313e-16,1.1102230246251565e-16
suining,suining,financial_tail_4h,threshold_4h,statistics9,165,0.6161991079225966,0.4436483222954359,VALID,165,0.6161991079225968,0.4436483222954359,2.220446049250313e-16,0.0
suining,suining,financial_tail_4h,threshold_4h,raw_pca6,165,0.6838938354992508,0.7010072082077768,VALID,165,0.6838938354992509,0.7010072082077768,1.1102230246251565e-16,0.0
suining,suining,financial_tail_4h,threshold_4h,gaf_pca6,165,0.45514871938587625,0.41605764215400287,VALID,165,0.4551487193858766,0.4160576421540028,3.3306690738754696e-16,5.551115123125783e-17
suining,suining,financial_tail_4h,threshold_4h,gaf_signed_pca6,165,0.46250634170833604,0.41978228990797467,VALID,165,0.4625063417083362,0.4197822899079746,1.6653345369377348e-16,5.551115123125783e-17
suining,suining,financial_tail_4h,threshold_4h,event_row_permutation,165,0.01896127404004013,0.008522968852900917,VALID,165,0.0189612740400405,0.0085229688529009,3.677613769070831e-16,1.734723475976807e-17
suining,suining,financial_tail_4h,threshold_4h,within_event_time_permutation,165,0.6211885616670743,0.678082888076821,VALID,165,0.6211885616670746,0.678082888076821,3.3306690738754696e-16,0.0
suining,suining,mean_shift_1h,mean_shift_2h,raw25,19,0.725373207745915,0.525564803804994,VALID,19,0.725373207745915,0.525564803804994,0.0,0.0
suining,suining,mean_shift_1h,mean_shift_2h,statistics9,19,0.512148233575128,0.3115744069015097,VALID,19,0.5121482335751284,0.3115744069015097,4.440892098500626e-16,0.0
suining,suining,mean_shift_1h,mean_shift_2h,raw_pca6,19,0.725373207745915,0.525564803804994,VALID,19,0.7253732077459148,0.525564803804994,1.1102230246251565e-16,0.0
suining,suining,mean_shift_1h,mean_shift_2h,gaf_pca6,19,0.04401396020177329,-0.12294782925939438,VALID,19,0.0440139602017749,-0.1229478292593943,1.609823385706477e-15,6.938893903907228e-17
suining,suining,mean_shift_1h,mean_shift_2h,gaf_signed_pca6,19,0.04401396020177329,-0.12294782925939438,VALID,19,0.0440139602017749,-0.1229478292593943,1.609823385706477e-15,6.938893903907228e-17
suining,suining,mean_shift_1h,mean_shift_2h,event_row_permutation,19,0.04198989398739257,-0.004978220286247666,VALID,19,0.0419898939873928,-0.0049782202862476,2.2898349882893854e-16,6.678685382510707e-17
suining,suining,mean_shift_1h,mean_shift_2h,within_event_time_permutation,19,0.6276295253379065,0.46951879373782557,VALID,19,0.6276295253379067,0.4695187937378255,2.220446049250313e-16,5.551115123125783e-17
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,raw25,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,statistics9,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,raw_pca6,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,gaf_pca6,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,gaf_signed_pca6,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,event_row_permutation,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_1h_0.025,within_event_time_permutation,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,raw25,499,0.7612983054952803,0.8227465386170065,VALID,499,0.7612983054952803,0.8227465386170065,0.0,0.0
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,statistics9,499,0.9499608369297086,0.9744803542734098,VALID,499,0.9499608369297088,0.9744803542734098,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,raw_pca6,499,0.7584360611653603,0.8198818383467193,VALID,499,0.7584360611653601,0.8198818383467193,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,gaf_pca6,499,0.3912693019310481,0.316147316388522,VALID,499,0.3912693019310485,0.316147316388522,3.885780586188048e-16,0.0
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,gaf_signed_pca6,499,0.3828488842551507,0.3144154764020399,VALID,499,0.382848884255151,0.3144154764020399,3.3306690738754696e-16,0.0
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,event_row_permutation,499,0.0075191521111188375,0.000371288558448529,VALID,499,0.0075191521111188,0.0003712885584485,3.729655473350135e-17,2.9002408113987244e-17
suining,suining,mean_shift_1h,opsda_cui2015_2h_0.025,within_event_time_permutation,499,0.63482771348119,0.7398024983910336,VALID,499,0.634827713481189,0.7398024983910336,9.992007221626409e-16,0.0
