window_id,site,turbine,stratum,anchor,source,scale,source_clock
M031,yandun,103,random_screen,2024-07-15 04:00:00+00:00,data/event_clean_v2/yandun/103.csv.gz,2039.7018249999999,UTC (cleaned source)
M032,sdwpf,91,steady_screen,2021-06-18 22:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
M033,pizhou,HRPZ#04(F04),rising_screen,2024-10-16 17:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M034,greece,WT01,steady_screen,2020-04-25 15:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M035,sdwpf,1,steady_screen,2021-08-15 05:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1549.82,source clock (timezone not reverified)
M036,pizhou,HRPZ#04(F04),random_screen,2024-09-17 22:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M037,greece,WT06,rising_screen,2020-05-26 17:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M038,greece,WT06,falling_screen,2020-06-22 05:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M039,yandun,1,falling_screen,2024-07-29 13:00:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
M040,sdwpf,114,random_screen,2021-06-11 21:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M041,pizhou,HRPZ#01(F01),steady_screen,2024-08-27 18:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#01(F01).csv.gz,2681.509338617667,UTC (cleaned source)
M042,greece,WT06,turning_screen,2020-04-20 20:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M043,greece,WT01,steady_screen,2020-06-10 00:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M044,pizhou,HRPZ#03(F03),steady_screen,2024-09-17 13:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
