turbine,frequency,grid_rows,usable_rows,threshold_4h_candidates,median_abs_change,native_gaps_gt15min
61,15min,17053,7207,1144,0.05551333333333322,1
61,30min,8527,3528,508,0.05191333333333334,1
61,60min,4264,1689,209,0.04707166666666665,1
62,15min,17053,7092,1130,0.057159999999999996,1
62,30min,8527,3477,533,0.055073333333333335,1
62,60min,4264,1673,218,0.049232500000000026,1
63,15min,17053,7042,1201,0.056606666666666666,1
63,30min,8527,3458,561,0.05466666666666667,1
63,60min,4264,1659,225,0.04849999999999999,1
64,15min,17053,7063,1127,0.05429333333333333,1
64,30min,8527,3462,496,0.051015000000000005,1
64,60min,4264,1662,212,0.04720583333333335,1
65,15min,17053,7095,999,0.04939666666666667,1
65,30min,8527,3486,450,0.04641666666666668,1
65,60min,4264,1676,188,0.043,1
66,15min,17053,7050,1033,0.048666666666666664,1
66,30min,8527,3442,470,0.04700000000000001,1
66,60min,4264,1656,177,0.044833333333333336,1
67,15min,17053,7018,1108,0.05733333333333333,1
67,30min,8527,3437,534,0.056010000000000004,1
67,60min,4264,1658,203,0.0490525,1
68,15min,17053,7888,1572,0.06021,1
68,30min,8527,3884,710,0.05575000000000002,1
68,60min,4264,1888,282,0.055085625,1
69,15min,17053,7311,1357,0.06500000000000002,1
69,30min,8527,3582,633,0.061364999999999996,1
69,60min,4264,1728,274,0.055269999999999986,1
70,15min,17053,7102,1475,0.074,1
70,30min,8527,3446,650,0.07004750000000001,1
70,60min,4264,1636,266,0.06524083333333335,1
71,15min,17053,7374,1536,0.07,1
71,30min,8527,3606,725,0.06681625000000005,1
71,60min,4264,1736,277,0.05870125000000001,1
72,15min,17053,7743,1548,0.0625,1
72,30min,8527,3779,711,0.061736250000000006,1
72,60min,4264,1812,287,0.0576475,1
73,15min,16957,7251,1488,0.06499999999999997,1
73,30min,8479,3538,702,0.06275,1
73,60min,4240,1706,296,0.05825124999999998,1
74,15min,16957,7800,1696,0.065925,1
74,30min,8479,3841,763,0.06524875,1
74,60min,4240,1872,333,0.05689000000000001,1
75,15min,16957,7755,1787,0.06632499999999997,1
75,30min,8479,3812,797,0.064,1
75,60min,4240,1840,333,0.059000000000000025,1
76,15min,16957,7379,1452,0.066,1
76,30min,8479,3587,660,0.06425,1
76,60min,4240,1729,264,0.058255,1
77,15min,16957,7747,1571,0.058060000000000035,1
77,30min,8479,3804,728,0.05782750000000002,1
77,60min,4240,1839,288,0.053375000000000006,1
78,15min,16957,7192,1704,0.07350000000000001,1
78,30min,8479,3517,781,0.07225,1
78,60min,4240,1687,312,0.07050000000000001,1
79,15min,16957,7731,1729,0.06598499999999999,1
79,30min,8479,3786,804,0.064365,1
79,60min,4240,1829,339,0.06294249999999998,1
80,15min,16765,7166,1532,0.06737000000000003,1
80,30min,8383,3512,701,0.06551125,1
80,60min,4192,1693,290,0.059305416666666694,1
81,15min,16765,7025,1464,0.07100000000000001,1
81,30min,8383,3427,662,0.06712499999999999,1
81,60min,4192,1641,253,0.05837500000000001,1
82,15min,16765,7542,1560,0.06200000000000003,1
82,30min,8383,3693,711,0.06067875000000001,1
82,60min,4192,1782,305,0.05365979166666668,1
83,15min,16957,7351,1462,0.06842500000000001,1
83,30min,8479,3585,677,0.0651625,1
83,60min,4240,1727,281,0.06190312500000003,1
84,15min,16957,7765,1580,0.05899999999999997,1
84,30min,8479,3816,752,0.05866250000000002,1
84,60min,4240,1849,295,0.052875000000000005,1
85,15min,16957,7749,1678,0.059,1
85,30min,8479,3797,773,0.057455000000000006,1
85,60min,4240,1837,331,0.055063749999999995,1
86,15min,16957,7259,1727,0.07400000000000001,1
86,30min,8479,3539,793,0.07321874999999994,1
86,60min,4240,1697,337,0.06805999999999998,1
87,15min,16765,7103,1657,0.075,1
87,30min,8383,3498,757,0.0721475,1
87,60min,4192,1690,300,0.06728500000000001,1
88,15min,16669,7221,1552,0.0714999999999999,1
88,30min,8335,3520,695,0.06625000000000003,1
88,60min,4168,1692,284,0.06288250000000006,1
89,15min,16669,7064,1586,0.06979500000000005,1
89,30min,8335,3458,745,0.0685,1
89,60min,4168,1671,280,0.06358625000000001,1
90,15min,16861,6921,1518,0.07066750000000001,1
90,30min,8431,3377,691,0.06977749999999999,1
90,60min,4216,1619,280,0.063625,1
91,15min,16861,7332,1380,0.06179999999999999,1
91,30min,8431,3568,605,0.05886749999999999,1
91,60min,4216,1716,236,0.054090624999999996,1
92,15min,16861,7178,1403,0.06595499999999999,1
92,30min,8431,3512,628,0.062,1
92,60min,4216,1684,257,0.05636624999999995,1
93,15min,16861,7221,1502,0.069,1
93,30min,8431,3519,678,0.06682500000000005,1
93,60min,4216,1690,284,0.06209625000000002,1
94,15min,16669,7475,1332,0.055999999999999994,1
94,30min,8335,3673,607,0.052375000000000005,1
94,60min,4168,1780,245,0.05199999999999999,1
95,15min,16669,7027,1442,0.0715,1
95,30min,8335,3441,672,0.066,1
