site,factor,seed,split,all_nmae_pct,ramp_nmae_pct,ramp_n,optimizer_steps,selected_power,selected_energy,test_cost,test_no_battery_cost,test_saving
yandun,0,42,economics_high,,,0,160,0.0,0.0,26207.32196480967,26207.32196480967,0.0
yandun,0,43,validation,11.205389976501465,36.728519439697266,38,160,,,,,
yandun,0,43,test,7.92103910446167,36.16378402709961,78,160,,,,,
yandun,0,43,economics_low,,,0,160,0.0,0.0,5861.174075857853,5861.174075857853,0.0
yandun,0,43,economics_base,,,0,160,0.0,0.0,11722.348151715705,11722.348151715705,0.0
yandun,0,43,economics_high,,,0,160,0.0,0.0,23444.69630343141,23444.69630343141,0.0
yandun,1,41,validation,12.345013618469238,34.01014709472656,38,160,,,,,
yandun,1,41,test,9.107916831970215,35.553348541259766,78,160,,,,,
yandun,1,41,economics_low,,,0,160,0.0,0.0,7313.8652029121295,7313.8652029121295,0.0
yandun,1,41,economics_base,,,0,160,0.0,0.0,14627.730405824259,14627.730405824259,0.0
yandun,1,41,economics_high,,,0,160,0.0,0.0,29255.460811648518,29255.460811648518,0.0
yandun,1,42,validation,12.252043724060059,35.80430221557617,38,160,,,,,
yandun,1,42,test,8.894511222839355,35.68220901489258,78,160,,,,,
yandun,1,42,economics_low,,,0,160,0.0,0.0,7074.722149660811,7074.722149660811,0.0
yandun,1,42,economics_base,,,0,160,0.0,0.0,14149.444299321622,14149.444299321622,0.0
yandun,1,42,economics_high,,,0,160,0.0,0.0,28298.888598643243,28298.888598643243,0.0
yandun,1,43,validation,11.56965446472168,35.08030319213867,38,160,,,,,
yandun,1,43,test,8.486714363098145,35.236724853515625,78,160,,,,,
yandun,1,43,economics_low,,,0,160,0.0,0.0,6887.9611060302705,6887.9611060302705,0.0
yandun,1,43,economics_base,,,0,160,0.0,0.0,13775.922212060541,13775.922212060541,0.0
yandun,1,43,economics_high,,,0,160,0.0,0.0,27551.844424121082,27551.844424121082,0.0
yandun,2,41,validation,12.483235359191895,32.83003234863281,38,160,,,,,
yandun,2,41,test,9.198392868041992,34.98634338378906,78,160,,,,,
yandun,2,41,economics_low,,,0,160,0.0,0.0,7257.346792325843,7257.346792325843,0.0
yandun,2,41,economics_base,,,0,160,0.0,0.0,14514.693584651686,14514.693584651686,0.0
yandun,2,41,economics_high,,,0,160,0.0,0.0,29029.387169303373,29029.387169303373,0.0
yandun,2,42,validation,12.69840145111084,34.42448806762695,38,160,,,,,
yandun,2,42,test,9.50942325592041,34.8382568359375,78,160,,,,,
yandun,2,42,economics_low,,,0,160,0.0,0.0,8028.2566986605525,8028.2566986605525,0.0
yandun,2,42,economics_base,,,0,160,0.0,0.0,16056.513397321105,16056.513397321105,0.0
yandun,2,42,economics_high,,,0,160,0.0,0.0,32113.02679464221,32113.02679464221,0.0
yandun,2,43,validation,11.875845909118652,33.62579345703125,38,160,,,,,
yandun,2,43,test,8.753812789916992,34.34299850463867,78,160,,,,,
yandun,2,43,economics_low,,,0,160,0.0,0.0,7221.269500819035,7221.269500819035,0.0
yandun,2,43,economics_base,,,0,160,0.0,0.0,14442.53900163807,14442.53900163807,0.0
yandun,2,43,economics_high,,,0,160,0.0,0.0,28885.07800327614,28885.07800327614,0.0
yandun,4,41,validation,13.185043334960938,30.71210479736328,38,160,,,,,
yandun,4,41,test,9.977683067321777,33.4245491027832,78,160,,,,,
yandun,4,41,economics_low,,,0,160,0.0,0.0,8284.894405857194,8284.894405857194,0.0
yandun,4,41,economics_base,,,0,160,0.0,0.0,16569.78881171439,16569.78881171439,0.0
yandun,4,41,economics_high,,,0,160,0.0,0.0,33139.57762342878,33139.57762342878,0.0
yandun,4,42,validation,13.307685852050781,31.929340362548828,38,160,,,,,
yandun,4,42,test,10.035710334777832,33.19386672973633,78,160,,,,,
yandun,4,42,economics_low,,,0,160,0.0,0.0,8619.456943180412,8619.456943180412,0.0
yandun,4,42,economics_base,,,0,160,0.0,0.0,17238.913886360824,17238.913886360824,0.0
yandun,4,42,economics_high,,,0,160,0.0,0.0,34477.82777272165,34477.82777272165,0.0
yandun,4,43,validation,13.034160614013672,31.270959854125977,38,160,,,,,
yandun,4,43,test,10.238115310668945,33.0163688659668,78,160,,,,,
yandun,4,43,economics_low,,,0,160,0.0,0.0,9286.765370294452,9286.765370294452,0.0
yandun,4,43,economics_base,,,0,160,0.0,0.0,18573.530740588903,18573.530740588903,0.0
yandun,4,43,economics_high,,,0,160,0.0,0.0,37147.06148117781,37147.06148117781,0.0
yandun,8,41,validation,14.957160949707031,28.870609283447266,38,160,,,,,
yandun,8,41,test,11.77156925201416,31.056182861328125,78,160,,,,,
yandun,8,41,economics_low,,,0,160,0.0,0.0,10578.435244127177,10578.435244127177,0.0
yandun,8,41,economics_base,,,0,160,0.0,0.0,21156.870488254353,21156.870488254353,0.0
yandun,8,41,economics_high,,,0,160,0.0,0.0,42313.74097650871,42313.74097650871,0.0
yandun,8,42,validation,14.84880256652832,29.697734832763672,38,160,,,,,
yandun,8,42,test,11.270405769348145,30.647035598754883,78,160,,,,,
yandun,8,42,economics_low,,,0,160,0.0,0.0,10029.779206728563,10029.779206728563,0.0
yandun,8,42,economics_base,,,0,160,0.0,0.0,20059.558413457125,20059.558413457125,0.0
yandun,8,42,economics_high,,,0,160,0.0,0.0,40119.11682691425,40119.11682691425,0.0
yandun,8,43,validation,14.719205856323242,29.380088806152344,38,160,,,,,
yandun,8,43,test,12.07310676574707,30.833799362182617,78,160,,,,,
yandun,8,43,economics_low,,,0,160,0.0,0.0,11614.450272787362,11614.450272787362,0.0
yandun,8,43,economics_base,,,0,160,0.0,0.0,23228.900545574725,23228.900545574725,0.0
yandun,8,43,economics_high,,,0,160,0.0,0.0,46457.80109114945,46457.80109114945,0.0
