site,left_minutes,right_minutes,config,left_events,right_events,matched_pairs,left_coverage,right_coverage,nmi,ari,agreement,informative,prototype,normalization,block_days,occupied_blocks,bootstrap_valid_nmi,bootstrap_valid_ari,nmi_low,nmi_high,ari_low,ari_high,coverage
yandun,15,60,adaptive_corridor,31713,14998,466,0.0146942894081291,0.0310708094412588,0.4884094728520772,0.6054909117564431,0.8862660944206009,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.4014133880127631,0.6226366606939715,0.5150788930707303,0.7245526736575134,0.0146942894081291
yandun,15,60,endpoint_corridor_0.025,31503,14885,561,0.0178078278259213,0.0376889486059791,0.4051694895319587,0.5094134077469274,0.8538324420677362,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.3155503964167139,0.5022969318585498,0.404286788101202,0.5989739739254728,0.0178078278259213
yandun,15,60,endpoint_corridor_0.050,32822,15890,967,0.0294619462555602,0.0608558842039018,0.4604982273370646,0.5735283668870458,0.8769389865563598,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.3953873997681514,0.5488073976228561,0.5075437667090823,0.6588863568897623,0.0294619462555602
yandun,15,60,endpoint_corridor_0.100,35184,16028,1803,0.0512448840381991,0.1124906413775892,0.525484860414027,0.6443292644181584,0.9001663893510815,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.4652415748011853,0.5953621189584971,0.5853180374195571,0.7102562393690481,0.0512448840381991
yandun,15,60,financial_tail_120min,13431,10133,8751,0.6515523788251061,0.8636139346689036,0.7168405646438305,0.793050574197301,0.8901839789738316,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6932094210162674,0.7470562891586229,0.7740035247928765,0.8191623440602435,0.6515523788251061
yandun,15,60,financial_tail_240min,10342,8176,7590,0.7339005994971959,0.9283268101761252,0.6393175042688665,0.7260375293771486,0.8512516469038208,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5961311385162317,0.6940352362633518,0.6849315239902733,0.7805377246420422,0.7339005994971959
yandun,15,60,financial_tail_60min,19388,12346,7742,0.399319166494739,0.62708569577191,0.6260103986429271,0.7290004383774523,0.8956342030483079,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6007322058752469,0.6623433941500196,0.7010105144480286,0.7628782393253202,0.399319166494739
yandun,15,60,mean_shift_120min,10213,9435,8893,0.8707529619112895,0.9425543190249072,0.5176528211439793,0.4787889296824944,0.6026087934330372,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5017306824058916,0.5458126160082907,0.4483662862010986,0.5193511926806339,0.8707529619112895
yandun,15,60,mean_shift_240min,6380,6170,6055,0.9490595611285266,0.9813614262560778,0.5018116643484729,0.4814080121750006,0.7180842279108175,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.4754223908313869,0.5393660337242366,0.4308540655632027,0.5296006492477517,0.9490595611285266
yandun,15,60,mean_shift_60min,14284,11440,3644,0.2551106132735928,0.3185314685314685,0.6150126352903885,0.6098589359943469,0.7628979143798024,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6014943381924672,0.6315925011434673,0.5917825576379523,0.633387637449709,0.2551106132735928
yandun,15,60,opsda_cui2015_120min_0.025,39077,7786,4716,0.1206848018015712,0.605702543025944,0.5252860198597267,0.6880462105746975,0.8848600508905853,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.4837339985510518,0.5750574045979735,0.650450635278054,0.7304714789574124,0.1206848018015712
yandun,15,60,opsda_cui2015_240min_0.025,45799,13002,7131,0.1557020895652743,0.548454083987079,0.6065987319071174,0.7548344560782266,0.9087084560370214,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5804644160817509,0.643915038946566,0.7307768474567431,0.7856550625609343,0.1557020895652743
yandun,15,60,opsda_cui2015_60min_0.025,26236,0,0,0.0,,,,,False,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,0,,,,,,,0.0
yandun,15,60,sda_florita2013_0.025,25667,10820,1993,0.0776483422293217,0.1841959334565619,0.6438064568271052,0.7581579865451036,0.9136979427997992,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6031181916363851,0.7032476810382126,0.7097782418731109,0.8088778301392757,0.0776483422293217
yandun,15,60,threshold_120min,20521,12752,11687,0.5695141562302032,0.9164836888331244,0.6723232643525452,0.7340308173267006,0.852827928467528,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6623708075640296,0.688223452665186,0.7198823767203059,0.7585961819128172,0.5695141562302032
yandun,15,60,threshold_240min,16302,10972,10617,0.6512697828487303,0.9676449143273788,0.5908656644453887,0.6528271070325029,0.8086088348874446,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5650397264524352,0.6420394654686434,0.6083686368976399,0.7180370844335102,0.6512697828487303
yandun,15,60,threshold_60min,24714,11440,7259,0.2937201586145505,0.6345279720279721,0.5542239414227818,0.6559653097134359,0.8637553382008542,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.522078205470326,0.6046942308082935,0.6147651178233843,0.7062571868491075,0.2937201586145505
