term,estimate,cluster_se,pvalue,bh_qvalue
C(month)[T.9],-0.04867582502847401,0.19121903666885504,0.7990665640519442,0.8614936393685023
C(month)[T.10],-0.018529051835933237,0.1988074003777645,0.9257438667238824,0.9393577471168807
C(month)[T.11],0.024258906153846866,0.19540707445753222,0.9012000843728122,0.9281015794287171
C(month)[T.12],0.004525646230056198,0.24775520920982658,0.9854261693777261,0.9854261693777261
C(turbine)[T.HRPZ#02(F02)],0.10868025160375694,0.07517625133295655,0.14826903480868026,0.22240355221302038
C(turbine)[T.HRPZ#03(F03)],0.05608512655010941,0.0751379745449501,0.4554086009438806,0.5417791976746166
C(turbine)[T.HRPZ#04(F04)],0.04699669230280716,0.07150005835578098,0.5109906983788044,0.5975992913243644
C(turbine)[T.HRPZ#05(F05)],0.10259155436928222,0.06118500647460864,0.09359267446451203,0.15750962287930073
C(turbine)[T.HRPZ#06(F06)],0.03910152770176889,0.06977289729472137,0.5751988512315465,0.6506347661471591
C(turbine)[T.HRPZ#07(F07)],0.11358109883777598,0.07323527334926183,0.12092397019318477,0.1940407893797616
C(turbine)[T.HRPZ#08(F11)],0.11671666539727611,0.08304386001855124,0.15987794471873407,0.23138886473594175
C(turbine)[T.HRPZ#09(F12)],0.10937527950840226,0.08298029688488504,0.1874744091207754,0.2587146845866701
C(turbine)[T.HRPZ#10(F13)],0.012900668550379479,0.08214095083305459,0.875201295714352,0.914983172792277
C(turbine)[T.HRPZ#11(F08)],0.09544486436917786,0.06575199262251856,0.1466159396685894,0.22240355221302038
C(turbine)[T.HRPZ#12(F09)],0.030298239130423055,0.07623920096696726,0.6910649657429231,0.7690884296171241
C(turbine)[T.HRPZ#13(F10)],0.1369719123196021,0.07953713232942407,0.08504908988188939,0.1483840630064101
C(turbine)[T.HRPZ#14(F14)],0.16342547656543027,0.07651343949546002,0.03268711687171725,0.06834578982268152
C(turbine)[T.HRPZ#15(F15)],0.10246019935162412,0.07887342876918997,0.19392819891230928,0.26237344558724196
C(turbine)[T.HRPZ#16(F16)],0.10820756434157315,0.08005275021486681,0.17647025816818518,0.24849893497152606
C(turbine)[T.HRPZ#17(F17)],0.17815462317154865,0.07645231711706141,0.019791828538913907,0.04552120563950199
C(turbine)[T.HRPZ#18(F18)],0.22595886103148488,0.08033704191577574,0.004913723045141559,0.01541122227794398
C(turbine)[T.HRPZ#19(F19)],0.19370177003335934,0.0746851485903578,0.009498294788579595,0.023406512157571144
C(turbine)[T.HRPZ#20(F20)],0.23535635666858098,0.07677973063813122,0.0021741910387837664,0.007895746404004204
C(turbine)[T.HRPZ#21(S01)],0.21984345993318122,0.08212205437808401,0.007427729085747345,0.020500532276662674
C(turbine)[T.HRPZ#22(S02)],0.2318689274107998,0.07247982794067863,0.0013786585411008907,0.005470119141858784
C(turbine)[T.HRPZ#23(S03)],0.13799325656137815,0.08037920952053217,0.08601974667038267,0.1483840630064101
C(turbine)[T.HRPZ#24(S06)],0.07377297313198808,0.06946062867911346,0.2881978746488846,0.36155733365041887
C(turbine)[T.HRPZ#25(S07)],0.17386428164977963,0.06607261869213103,0.00850308851050316,0.021730115082396962
C(turbine)[T.HRPZ#26(S15)],0.07582358918627408,0.07866768400478058,0.33512277943364643,0.40567494352494043
C(turbine)[T.HRPZ#27(S08)],0.10302879308787471,0.08717147668452771,0.23724162726548093,0.30314207928367004
C(turbine)[T.HRPZ#28(S09)],0.17295854831093482,0.08415711458741115,0.03986101459783614,0.08089441197796157
C(turbine)[T.HRPZ#29(S10)],0.10896662611391854,0.07308759731928192,0.1359865755972234,0.21325167536837308
C(turbine)[T.HRPZ#30(S11)],0.10487879399084639,0.07481565621049802,0.16096616677282904,0.23138886473594175
C(turbine)[T.HRPZ#31(S12)],0.17881062277199375,0.08163962614224506,0.028506615496993248,0.06146738966539169
C(turbine)[T.HRPZ#32(S13)],0.22110639531274281,0.0805761994852087,0.006068336839737682,0.017446468414245835
C(turbine)[T.HRPZ#33(S14)],0.21817647122208436,0.06413487765794147,0.0006693427421033566,0.0030789766136754405
a,0.3323105555324409,0.11456854751495378,0.0037252131970527463,0.012239986218887593
pre_power4,0.2840846599593829,0.10768394423297675,0.008336366700907984,0.021730115082396962
pre_speed4,0.2244090262332017,0.0590577039486863,0.00014479744919638774,0.000768540307273135
pre_change4,-0.036752769497314076,0.06103450225716066,0.5470650911313893,0.6291248548010978
pre_sin,0.027314348336644773,0.11996975199772324,0.8198973858926193,0.8703526096398574
pre_cos,0.18467909519579367,0.104651999215973,0.07761466106372358,0.14474085441613316
